date,quantity
2020-01-01,2385
2020-01-02,3625
2020-01-03,10917
2020-01-04,3873
2020-01-05,4055
2020-01-06,6066
2020-01-09,19253
2020-01-10,3556
2020-01-11,3821
2020-01-12,3405
2020-01-13,3163
2020-01-14,5460
2020-01-15,6192
2020-01-18,1638
2020-01-19,1005
2020-01-20,1126
2020-01-21,774
2020-01-22,512
2020-01-23,248
2020-01-24,166
2020-01-25,267
2020-01-26,500
2020-01-27,610
2020-01-28,838
2020-01-29,1095
2020-01-30,1327
2020-01-31,1330
2020-02-01,1300
2020-02-02,1176
2020-02-03,2077
2020-02-04,1575
2020-02-05,1827
2020-02-06,1821
2020-02-07,1766
2020-02-08,1753
2020-02-09,1899
2020-02-10,1968
2020-02-11,1999
2020-02-12,9790
2020-02-13,2439
2020-02-14,2772
2020-02-15,1186
2020-02-16,1133
2020-02-17,1119
2020-02-18,1169
2020-02-19,1891
2020-02-20,1988
2020-02-21,1653
2020-02-22,5471
2020-02-23,1330
2020-02-24,1588
2020-02-25,1427
2020-02-26,5122
2020-02-27,1593
2020-02-28,2532
2020-02-29,2402
2020-03-01,1918
2020-03-02,4962
2020-03-03,6915
2020-03-04,27858
2020-03-05,2172
2020-03-06,1843
2020-03-07,1405
2020-03-08,2642
2020-03-09,1370
2020-03-10,1386
2020-03-11,1527
2020-03-12,1916
2020-03-13,1902
2020-03-14,1353
2020-03-15,1358
2020-03-16,1187
2020-03-17,1454
2020-03-18,1841
2020-03-19,1741
2020-03-20,7687
2020-03-21,1970
2020-03-22,1926
2020-03-23,2078
2020-03-24,2533
2020-03-25,2315
2020-03-26,3854
2020-03-27,56631
2020-03-28,2880
2020-03-29,2067
2020-03-30,1977
2020-03-31,1025
2020-04-01,1744
2020-04-02,1631
2020-04-03,1089
2020-04-04,1413
2020-04-05,1773
2020-04-06,1915
2020-04-07,6525
2020-04-08,2976
2020-04-09,3420
2020-04-10,2583
2020-04-11,3065
2020-04-12,3069
2020-04-13,2214
2020-04-14,6184
2020-04-15,9430
2020-04-16,15817
2020-04-17,3554
2020-04-18,5858
2020-04-19,2908
2020-04-20,2643
2020-04-21,4421
2020-04-22,3012
2020-04-23,8371
2020-04-24,9452
2020-04-25,934
2020-04-26,447
2020-04-27,2553
2020-04-28,2740
2020-04-29,2960
2020-04-30,2625
2020-05-01,2012
2020-05-02,2033
2020-05-03,395
2020-05-04,315
2020-05-05,920
2020-05-06,901
2020-05-07,1374
2020-05-08,3587
2020-05-09,6600
2020-05-10,5369
2020-05-11,7346
2020-05-12,15631
2020-05-13,6300
2020-05-14,2664
2020-05-15,3452
2020-05-16,2440
2020-05-17,2052
2020-05-18,5914
2020-05-19,7516
2020-05-20,7761
2020-05-21,6408
2020-05-22,2788
2020-05-23,2169
2020-05-24,8399
2020-05-25,2996
2020-05-26,2838
2020-05-27,3483
2020-05-28,2892
2020-05-29,8311
2020-05-30,2723
2020-05-31,2238
2020-06-01,4160
2020-06-02,2401
2020-06-03,8660
2020-06-04,7583
2020-06-05,14886
2020-06-06,12632
2020-06-07,3475
2020-06-08,3692
2020-06-09,13982
2020-06-10,8850
2020-06-11,22326
2020-06-12,4080
2020-06-13,3065
2020-06-14,2959
2020-06-15,2852
2020-06-16,7476
2020-06-17,3209
2020-06-18,20437
2020-06-19,8733
2020-06-20,8577
2020-06-21,5718
2020-06-22,22146
2020-06-23,4997
2020-06-24,5592
2020-06-25,3266
2020-06-26,3795
2020-06-27,3686
2020-06-28,6618
2020-06-29,4676
2020-06-30,5440
2020-07-01,3377
2020-07-02,4713
2020-07-03,3539
2020-07-04,4960
2020-07-05,9431
2020-07-06,4544
2020-07-07,21531
2020-07-08,4878
2020-07-09,5694
2020-07-10,4741
2020-07-11,4144
2020-07-12,3361
2020-07-13,3503
2020-07-14,4581
2020-07-15,3946
2020-07-16,4481
2020-07-17,4043
2020-07-18,2645
2020-07-19,3230
2020-07-20,5403
2020-07-21,8593
2020-07-22,11681
2020-07-23,3518
2020-07-24,3741
2020-07-25,2722
2020-07-26,2953
2020-07-27,4926
2020-07-28,10947
2020-07-29,7655
2020-07-30,15254
