quantity,average_selling_price,promotion_en_%,seller_id,product_id,variation_id,month,rating_avg,rating_count,review_count,stock,LAZ,SHP
80,489000,21.13,0,0,0,3,4.900000000000002,125.0,43.0,115.5,1,0
854,499000,19.52,0,0,0,6,4.847540983606608,126.0,44.0,106.09836065573771,1,0
42,508000,18.06,0,0,0,3,4.900000000000002,121.0,42.0,160.5,1,0
1200,529000,14.68,0,0,0,7,4.866666666666717,126.0,44.0,115.4,1,0
35,559000,9.84,0,0,0,4,4.900000000000002,119.0,40.0,160.0,1,0
144,589000,5.0,0,0,0,4,4.8999999999999915,123.0,43.0,158.5,1,0
45,620000,0.0,0,0,0,3,4.799999999999999,126.0,44.0,90.8,1,0
21,1058000,15.36,0,1,1,2,4.566666666666666,54.0,19.0,10.666666666666666,1,0
792,1059000,15.28,0,1,1,7,4.572222222222198,58.0,22.0,14.555555555555555,1,0
369,1129000,9.68,0,1,1,5,4.575609756097554,59.0,23.0,17.78048780487805,1,0
640,1189000,4.88,0,1,1,8,4.567499999999972,58.0,22.0,15.925,1,0
750,848000,17.67,0,6,6,5,4.660000000000014,121.0,37.0,19.6,1,0
608,929000,9.81,0,6,6,5,4.700000000000027,121.0,37.0,13.421052631578947,1,0
299,979000,4.95,0,6,6,6,4.678260869565237,121.0,37.0,17.652173913043477,1,0
143,198000,18.18,0,7,7,4,4.800000000000008,44.0,11.0,7.363636363636363,1,0
12,208000,14.05,0,7,7,1,4.8,44.0,11.0,7.333333333333333,1,0
36,209000,13.64,0,7,7,3,4.800000000000001,44.0,11.0,8.0,1,0
899,219000,9.5,0,7,7,7,4.799999999999971,44.0,11.0,4.967741935483871,1,0
465,229000,5.37,0,7,7,7,4.79999999999997,44.0,11.0,8.290322580645162,1,0
69,419000,19.42,0,8,8,3,4.799999999999998,138.0,38.0,27.333333333333332,1,0
58,428000,17.69,0,8,8,4,4.799999999999998,128.0,34.0,35.5,1,0
204,429000,17.5,0,8,8,3,4.800000000000007,145.0,41.0,20.416666666666668,1,0
68,439000,15.58,0,8,8,5,4.800000000000004,138.0,38.0,46.0,1,0
861,469000,9.81,0,8,8,6,4.8000000000000425,145.0,41.0,41.02439024390244,1,0
741,489000,5.96,0,8,8,6,4.800000000000044,145.0,41.0,42.666666666666664,1,0
143,198000,18.18,0,9,9,3,4.576923076923082,19.0,5.0,6.0,1,0
12,208000,14.05,0,9,9,1,4.675,16.0,4.0,9.5,1,0
40,209000,13.64,0,9,9,4,4.599999999999997,14.0,4.0,14.0,1,0
160,219000,9.5,0,9,9,4,4.565625000000006,19.0,5.0,5.5625,1,0
340,229000,5.37,0,9,9,5,4.6029411764705905,19.0,5.0,7.117647058823529,1,0
436,498000,17.69,0,10,10,4,4.75,185.0,53.0,69.75,1,0
195,499000,17.52,0,10,10,4,4.699999999999994,221.0,62.0,62.23076923076923,1,0
8,505000,16.53,0,10,10,1,4.7,215.0,60.0,77.5,1,0
204,509000,15.87,0,10,10,5,4.699999999999996,211.0,60.0,89.5,1,0
2886,539000,10.91,0,10,10,9,4.699999999999904,221.0,62.0,67.58974358974359,1,0
1680,569000,5.95,0,10,10,8,4.712499999999931,221.0,62.0,73.625,1,0
39,259000,19.06,0,11,11,3,4.466666666666667,252.0,123.0,65.0,1,0
840,268000,16.25,0,11,11,5,4.479999999999998,259.0,124.0,50.733333333333334,1,0
248,269000,15.94,0,11,11,6,4.5,251.0,123.0,112.5,1,0
3880,289000,9.69,0,11,11,10,4.497499999999997,262.0,124.0,56.325,1,0
2184,299000,6.56,0,11,11,10,4.482051282051272,262.0,124.0,57.87179487179487,1,0
12,205000,21.15,0,12,12,1,4.5,532.0,218.0,66.0,1,0
1534,209000,19.62,0,12,12,5,4.5,538.0,219.0,57.88135593220339,1,0
5250,219000,15.77,0,12,12,9,4.5,538.0,219.0,74.4,1,0
15,235000,9.62,0,12,12,3,4.5,483.0,206.0,247.0,1,0
343,249000,4.23,0,12,12,6,4.5,519.0,217.0,181.42857142857142,1,0
1100,260000,0.0,0,12,12,3,4.5,538.0,219.0,48.6,1,0
72,458000,16.73,0,14,14,4,4.700000000000001,48.0,15.0,13.666666666666666,1,0
18,459000,16.55,0,14,14,2,4.7,53.0,15.0,2.3333333333333335,1,0
7,468000,14.91,0,14,14,2,4.7,49.0,15.0,13.0,1,0
576,499000,9.27,0,14,14,8,4.700000000000017,54.0,15.0,7.5,1,0
285,519000,5.64,0,14,14,6,4.700000000000015,54.0,15.0,7.7368421052631575,1,0
15,369000,23.92,0,15,15,3,4.3,116.0,49.0,3.0,1,0
5,389000,19.79,0,15,15,1,4.3,121.0,51.0,0.8,1,0
57,395000,18.56,0,15,15,3,4.299999999999998,114.0,49.0,24.333333333333332,1,0
486,399000,17.73,0,15,15,5,4.299999999999984,121.0,51.0,23.88888888888889,1,0
156,449000,7.42,0,15,15,2,4.300000000000003,121.0,51.0,25.384615384615383,1,0
